(121, '2bf95a14-05db-4dd7-a960-6ee770413a53', 58, 124, '9', 'APEDURU', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(122, '3c058129-d376-4cff-959b-987e5b873ac7', 107, 69, '9', 'APEITOLIM', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(123, '608d8e2c-c607-48a6-aa4d-5f4fb8114a91', 54, 118, '6', 'APERIKIRA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(124, 'ed24e63a-5aaa-4e6f-b664-0a72b2d1bccb', 39, 237, '1', 'APETAI', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(125, '4d58b9cf-2c32-44a6-900a-76c6d5a44691', 53, 117, '8', 'APO', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(126, 'b9d06d28-5fbd-422a-a9c7-51367822dce9', 1, 3, '8', 'APOI', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(127, 'a910c1d4-3cdc-46ea-9682-6bca3cb03f01', 35, 190, '2', 'APOPONG', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(128, '62a238bb-ee02-4709-b754-59587a935800', 57, 123, '3', 'APUTI', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(129, 'f70631c6-c5ad-4f5b-8ab5-cbfd6731d602', 53, 198, '5', 'ARAFA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(130, 'c1173b5e-aef8-4d7b-abf0-85f620a9e717', 38, 207, '1', 'ARAPAI', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(131, '2edf07da-2059-4d23-bd66-af61ea62a473', 38, 207, '3', 'ARAPAI TOWN COUNCIL', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(132, '50110208-8fbf-4729-9ea6-59f3d03cd5ff', 115, 236, '7', 'AREMO', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(133, 'd3ca82d2-d19a-40a0-b125-5f1afa1f1f25', 53, 117, '17', 'ARIA', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(134, '99ba3acd-36ac-411f-98c2-4b04a797fdaf', 53, 197, '3', 'ARILO', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
(135, '30326cf2-4183-44a3-8fa3-7c771e8b4f67', 40, 195, '7', 'ARINYAPI', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(136, '838f9cc4-0a32-4111-8c3f-a16223099d8e', 2, 7, '2', 'ARIVU', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(137, '05fd64a9-faf4-405b-9a6a-f66602bc12d7', 53, 198, '11', 'ARIWA', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(138, '7345102f-a7a0-4436-8113-7e5b2495a118', 1, 251, '4', 'AROCHA DIVISION', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(139, '3b8a27a3-5605-4368-b894-2cbe752c2f8f', 2, 5, '2', 'AROI', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(140, 'e76fb277-1e83-40a9-93de-724ef302a14e', 22, 158, '1', 'AROMO', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(141, '30ad643c-6553-4f97-9216-7b4fab8fa18f', 2, 4, '1', 'ARUA HILL', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(142, '3983aeb4-a79b-4484-8e86-713ec0f99a43', 111, 111, '11', 'ARUM', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(143, '10a40e50-6882-488f-acc8-902fb94e2dcf', 57, 123, '9', 'ARWOTCEK', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(144, '12a19b27-2b96-4aa3-aa80-ccc0699022a5', 58, 124, '2', 'ASAMUK', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(145, 'c3cc104e-acbf-4a4d-9cc9-92cb40e5e806', 38, 93, '2', 'ASURET', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(146, '115bb959-1b11-4961-9461-a7c5cff12ec8', 50, 199, '2', 'ATANGA', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(147, 'bb93d9c4-6f2a-4c42-b2e5-e96e0ce3beee', 50, 199, '12', 'ATANGA TOWN COUNCIL', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(148, '369c340e-66b6-4b4a-a1d8-613542cf7caa', 33, 81, '8', 'ATEGO', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(149, '065e1a75-fc7c-4892-97fd-8a8768ec8c9b', 87, 159, '12', 'ATHUMA', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(150, '596f9347-4eb8-448d-a1c2-75dd796fcfe0', 71, 221, '2', 'ATIAK', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(151, '77222a33-186a-40ef-92c3-ececb979c4e7', 71, 221, '3', 'ATIAK TOWN COUNCIL', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(152, '4d3a7d59-176c-4fa0-a180-740df9926da8', 97, 170, '1', 'ATIIRA', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(153, 'f4f29f0b-7d89-4a9b-b112-e57162670267', 1, 251, '1', 'ATIK DIVISION', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(154, '7d9f323a-a33c-4c7d-80cf-137e3e5fe629', 127, 2, '11', 'ATONGTIDI', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(155, '49223df1-70a0-4c5e-935d-9f96a8ebd554', 108, 53, '9', 'ATOOT', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(156, '24852527-5c00-44f5-a414-3391e2017a26', 70, 140, '12', 'ATUNGA', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(157, '06021009-20c2-4675-9065-967f5cc0a21c', 21, 52, '1', 'ATUTUR', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(158, '7af5c945-bb6e-4c70-a0f2-240898c20a88', 87, 231, '1', 'ATYAK', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(159, 'c8f1bbf7-a3ab-48c5-8ef2-84001296c2f1', 38, 93, '10', 'AUKOT', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(160, '88f22fbf-f199-4eb2-91bd-ef4ea3c70088', 5, 15, '1', 'AWACH', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(161, 'cec65306-f41e-4bab-bfe1-598fcbd6bb78', 70, 140, '7', 'AWACH', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(162, '748764f7-f73c-45c8-92c1-cc4f1f43a264', 38, 93, '11', 'AWALIWAL', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(163, '4351b1a5-61c5-44d8-92cd-9d1148c6bd43', 88, 180, '8', 'AWEI', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(164, '61a04d2e-a876-4302-a5f9-564242b200cb', 57, 123, '4', 'AWELLO', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
(165, 'cf8df48f-deab-44e0-a049-343f160c6d81', 50, 112, '3', 'AWERE', NULL, '2022-01-01 00:23:45', '2023-11-13 14:35:31'),
